,H2OT_3550_SAT,H2Om_5200_M,H2Om_5200_M_STD,OH_4500_M,OH_4500_M_STD,P_H5200_S2N,P_H4500_S2N,ERR_5200,ERR_4500
FR06MI05a,-,2.7260381522337402,0.7699776192713249,2.4772245823695473,0.8042103865111232,2.726354717024094,3.248918289138769,*,*
FR06MI05b,-,1.9692440755971994,0.5783341348848962,2.666936880653573,0.787176003216153,1.828695932730424,2.7815108915322306,*,*
FR06MI05c,-,2.8707999903023818,0.7898575509078941,3.4180339477400703,1.06614261855304,3.2443188050267957,5.17005762657866,*,-
FR06MI06a,-,4.7578376408192655,1.7572338253788187,4.958423854099248,1.7406819111621938,2.647073276881518,3.727969194437863,*,*
FR06MI06b,-,4.010479008259815,1.360507652407923,4.914984295777786,1.7213807773940761,3.3485199434854898,5.707921384765991,*,-
FR06MI06c,-,4.166887010663656,1.4175820116167865,4.189920166760165,1.5228741510615147,2.389646891830231,3.4340853697189733,*,*
FR06MI07a,-,2.226401549243989,0.618242454220938,4.784751545552618,1.4086206158068972,1.2968149645966516,3.830162161855546,*,*
FR06MI07b,-,3.3576408365012176,0.9383152642974201,4.35604830292336,1.3962461922997436,2.8504796598662874,4.506619910097281,*,-
FR06MI07c,-,4.329166559130043,1.1995937057409114,3.6331020460004493,1.123740667591367,2.643110714757014,3.9598550010273237,*,*
FR06MI08a,-,1.8522081285175864,0.5558499789475994,0.762228746680685,0.24180812679800995,4.828942423948804,1.7938128093865322,-,*
FR06MI08b,-,2.1419189232422378,0.672033790212146,0.980351827424374,0.30532909393083535,5.399955208575096,4.344477976141911,-,-
FR06MI08c,-,2.8583841146059648,0.8672329939005385,0.8750753459171396,0.2745723862759035,3.2013511006862494,2.569629370991804,*,*
