,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
STD_ETF46_020320_256s_15x15_b,3.728948986996514,0.3800067236814046,2.6171131662219165,0.6819231370329971,2923.280113246308,223.9300728416069,2742.6030376047956,212.84023943272751
STD_ETF46_020320_256s_15x15_c,3.7456829965861886,0.38109636665177055,2.6036311080406227,0.678299141069818,2877.300466140391,220.61286515421506,2706.7247050516894,210.21936222789031
STD_ETF46_020520_256s_15x15_a,3.608210890978034,0.36793533651633087,2.567261490494402,0.6691077718824336,2859.1195652681427,219.3394506495212,2683.8738591953665,208.83316761781015
STD_ETF46_020520_256s_15x15_b,3.5895601510431696,0.36528026922308143,2.565275298988096,0.6677176634031133,2837.329732388016,217.35684464734118,2677.7516761584216,207.66283039913898
STD_ETF46_020520_256s_15x15_c,3.6456822631005226,0.3709840214061742,2.5485345441360443,0.664264087428179,2865.9078679273125,220.13650789090505,2679.989815471676,207.89202917449748
STD_ETF46_021220_256s_15x20_a,3.860462071528657,0.39333646209476436,2.6713736578886653,0.6968508792289687,3012.4674270817986,230.63666908958763,2912.3874409016757,225.37066036977006
STD_ETF46_021220_256s_15x20_b,3.830293310568651,0.3899089606149393,2.6700692566081976,0.6957030389332391,3035.379404784473,232.59041059788527,2886.1780066259566,223.43320613931692
STD_ETF46_021220_256s_15x20_c,3.8716275451341007,0.3941331321011087,2.6711923702118474,0.6959411100283864,3025.125674201234,232.04352001565817,2902.336698432466,224.31602764282363
STD_ETF46_021420_256s_15x20_a,3.737517891224712,0.38043823261554305,2.6349985618412886,0.687545638626224,3033.056137047997,232.16095531454397,2825.122891218129,218.11137961147853
STD_ETF46_021420_256s_15x20_b,3.747261528618817,0.3813746786391939,2.605492726696953,0.6792590454728504,2929.4237427641747,223.98900421091008,2737.3053675048627,211.50968845899496
STD_ETF46_021420_256s_15x20_c,3.786425489710317,0.3855133451525559,2.617931649922027,0.682617254235801,2928.046073626663,224.70150251633024,2751.7424969853305,213.04807508174906
STD_ETF46_021720_256s_15x20_a,3.616238660049635,0.3676057663503452,2.455831511274912,0.6408586599247807,2797.769047549703,215.22303240997624,2699.1051756052316,209.65658667382806
STD_ETF46_021720_256s_15x20_b,3.7541716156959213,0.38247867733064744,2.5335847620868837,0.6600593949545638,2881.93453988301,221.1443249010018,2745.9923569478033,213.00314071163655
STD_ETF46_021720_256s_15x20_c,3.7867168386637418,0.3852363656728753,2.534560207630639,0.6610265118209089,2905.9643435120674,223.2037645556645,2764.191429017504,214.33266370754836
STD_ETF46_021920_256s_15x20_a,3.681381805776039,0.3744574420223551,2.472476447551461,0.6454693051134955,2874.968065706304,220.38938681914001,2720.959159412377,211.1130132047827
STD_ETF46_021920_256s_15x20_b,3.6956373080353835,0.37590624290665375,2.4725871104975665,0.6434210879732422,2873.7546014627296,220.460092856561,2780.5265994283727,215.46912146529286
STD_ETF46_021920_256s_15x20_c,3.6653513083915654,0.3726524134828295,2.4578633373996857,0.640730370134408,2879.881129971098,220.85732406447474,2759.261855474668,213.69342579879034
STD_ETF46_022120_256s_15x20_a,3.782118112970246,0.3845985027068981,2.660002316352305,0.6925896330179574,3055.596760013008,234.109898125276,2843.6953787429093,219.6642540220531
STD_ETF46_022120_256s_15x20_b,3.6278848893777482,0.369002965194958,2.449433466962458,0.6388094154751897,2867.858574386228,220.18761547567215,2777.8475473856006,214.69330015025693
STD_ETF46_022120_256s_15x20_c,3.620212278004523,0.3688518108538264,2.4522863367216914,0.6398286622679838,2885.7979297642696,221.24755314328587,2771.506582952555,215.21323741291292
STD_ETFS_15x20_256s_2,3.7402472382195984,0.3802414624485639,2.681041721512728,0.6996965111649688,2954.8589454848625,226.28316934953335,2785.845853199284,215.80896704835098
STD_ETFS_15x25_256s,3.8779680315829204,0.39514109317986795,2.75598498608973,0.719349392900599,3127.762251538771,239.10005069553335,2945.733615987217,227.49985443192753
