Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
Helo_NS1_100x100_256s_sp1,49.40,1.54,14.78,,9.25,0.19,8.95,10.69,2.95,0.21,,89.00,3.00
Helo_NS1_100x100_256s_sp2,49.40,1.54,14.78,,9.25,0.19,8.95,10.69,2.95,0.21,,89.00,3.00
Helo_NS1_100x100_256s_sp3,49.40,1.54,14.78,,9.25,0.19,8.95,10.69,2.95,0.21,,89.00,3.00
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp1,52.36,1.62,12.87,,8.12,0.11,9.55,10.53,2.66,1.41,0.23,99.00,3.00
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp2,52.36,1.62,12.87,,8.12,0.11,9.55,10.53,2.66,1.41,0.23,99.00,3.00
INSOL_MX1_BA4_100x100_128s_highres_99umthick_sp3,52.36,1.62,12.87,,8.12,0.11,9.55,10.53,2.66,1.41,0.23,99.00,3.00
LMT_BA3_1_50x50_256s_sp1,52.91,1.85,13.53,0.00,,0.00,7.72,11.62,2.71,1.41,0.09,15.60,3.00
LMT_BA4_1_50x50_256s_sp1,52.96,1.84,13.55,0.00,,0.00,7.70,11.58,2.72,1.41,0.10,35.30,3.00
M35_100x100_051823_sp1,45.96,0.84,16.83,3.58,5.04,0.16,6.50,10.11,2.28,0.23,,37.30,3.00
M35_100x100_051823_sp2,45.96,0.84,16.83,3.58,5.04,0.16,6.50,10.11,2.28,0.23,,37.30,3.00
M35_75x75_051823_sp3,45.96,0.84,16.83,3.58,5.04,0.16,6.50,10.11,2.28,0.23,,37.30,3.00
M43_chip1_100x100_256s_sp1,47.46,0.88,17.21,3.23,5.91,0.22,6.65,10.59,2.17,0.23,,43.80,3.00
M43_chip1_100x100_256s_sp2,47.46,0.88,17.21,3.23,5.91,0.22,6.65,10.59,2.17,0.23,,47.60,3.00
M43_chip1_100x100_256s_sp3,47.46,0.88,17.21,3.23,5.91,0.22,6.65,10.59,2.17,0.23,,49.10,3.00
ND70_02_01_100x100_256s_20231013_sp6,47.93,0.76,15.67,8.97,0.00,0.16,8.58,12.76,2.19,0.17,0.08,49.55,3.00
ND70_02_01_100x100_256s_20231013_sp7,47.93,0.76,15.67,8.97,0.00,0.16,8.58,12.76,2.19,0.17,0.08,49.57,3.00
ND70_02_01_100x100_256s_20231013_sp8,47.93,0.76,15.67,8.97,0.00,0.16,8.58,12.76,2.19,0.17,0.08,49.50,3.00
ND70_02_01_06032022_150x150_sp1,47.93,0.76,15.67,8.97,0.00,0.16,8.58,12.76,2.19,0.17,0.08,119.50,3.00
ND70_02_01_06032022_150x150_sp2,47.93,0.76,15.67,8.97,0.00,0.16,8.58,12.76,2.19,0.17,0.08,119.50,3.00
