fitted_baseline,Sample ID,Repeats,Sub_Repeats,PH_1430,PH_1515,,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness,,
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_9_chip2_100x100_256s_sp1,CI_Ref_bas_9,CI_Ref_bas_9,0.73344574,0.73682838,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,39.101248,3,,12.7364283
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_9_chip2_100x100_256s_sp3,CI_Ref_bas_9,CI_Ref_bas_9,0.679371398,0.684009539,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,41.0956002,3,,12.7364283
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_9_chip2_100x100_256s_sp4,CI_Ref_bas_9,CI_Ref_bas_9,0.687045593,0.690460787,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,39.6828546,3,,12.7364283
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_1_100x100_256s_sp1,CI_Ref_10,CI_Ref_10,0.559997111,0.563371982,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,49.4373321,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp4.CSV,CI_Ref_10_1_100x100_256s_060223_sp2,CI_Ref_10,CI_Ref_10,0.542501721,0.549025111,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,50.8384228,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_1_100x100_256s_sp5,CI_Ref_10,CI_Ref_10,0.574695807,0.494940222,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,31.1040921,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_chip1_100x100_256s_sp1,CI_Ref_10,CI_Ref_10,1.54368788,1.55895341,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,117.6299644,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_chip1_100x100_256s_sp2,CI_Ref_10,CI_Ref_10,1.374416107,1.401492817,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,117.7889825,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_chip1_100x100_256s_sp3,CI_Ref_10,CI_Ref_10,1.383680563,1.40674332,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,117.9448635,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_chip1_100x100_256s_sp4,CI_Ref_10,CI_Ref_10,1.584180807,1.597648156,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,120.4867634,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_10_chip1_100x100_256s_sp5,CI_Ref_10,CI_Ref_10,1.330854492,1.360380963,,49.0197523,1.3777951,15.8967528,12.1220703,,0.2232752,7.141938,12.5457893,2.5758112,0.1685026,0.1427657,115.8378948,3,,10.9076163
CI_Ref_MORB_100x100_256s_sp4.CSV,CI_Ref_11_1_100x100_256s_sp2,CI_Ref_11,CI_Ref_11,0.369160391,0.380577294,,49.7694919,1.4089363,16.0174792,12.41000682,,0.2315355,7.1169078,11.5102041,2.49063,0.1723483,0.1157638,24.8885323,3,,11.1667058
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_11_1_100x100_256s_sp3,CI_Ref_11,CI_Ref_11,0.43947749,0.439290085,,49.7694919,1.4089363,16.0174792,12.41000682,,0.2315355,7.1169078,11.5102041,2.49063,0.1723483,0.1157638,26.9883802,3,,11.1667058
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_11_1_100x100_256s_sp4,CI_Ref_11,CI_Ref_11,0.386795055,0.402823945,,49.7694919,1.4089363,16.0174792,12.41000682,,0.2315355,7.1169078,11.5102041,2.49063,0.1723483,0.1157638,27.7669582,3,,11.1667058
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_13_1_100x100_256s_sp1,CI_Ref_13,CI_Ref_13,0.288506988,0.287464751,,49.5781431,1.3796363,16.0768068,12.20678997,,0.2215365,7.1790042,11.7093934,2.569895,0.1699452,0.1317906,22.177756,3,,10.9838483
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_13_1_100x100_256s_sp2,CI_Ref_13,CI_Ref_13,0.255549357,0.259098535,,49.5781431,1.3796363,16.0768068,12.20678997,,0.2215365,7.1790042,11.7093934,2.569895,0.1699452,0.1317906,18.4589644,3,,10.9838483
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_13_1_100x100_256s_sp3,CI_Ref_13,CI_Ref_13,0.302638467,0.313937249,,49.5781431,1.3796363,16.0768068,12.20678997,,0.2215365,7.1790042,11.7093934,2.569895,0.1699452,0.1317906,22.5434889,3,,10.9838483
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_13_1_100x100_256s_sp4,CI_Ref_13,CI_Ref_13,0.305527043,0.315623895,,49.5781431,1.3796363,16.0768068,12.20678997,,0.2215365,7.1790042,11.7093934,2.569895,0.1699452,0.1317906,22.5037113,3,,10.9838483
CI_Ref_MORB_100x100_256s_sp1.CSV,CI_Ref_14_1_100x100_256s_sp2,CI_Ref_14,CI_Ref_14,0.165436123,0.177031819,,49.6806036,1.4130968,15.989369,12.31062335,,0.2253224,7.1614792,11.5998783,2.5239119,0.1792262,0.1498381,27.6340371,3,,11.0772791
CI_Ref_MORB_100x100_256s_sp1.CSV,CI_Ref_14_1_100x100_256s_sp3,CI_Ref_14,CI_Ref_14,0.196187297,0.204820615,,49.6806036,1.4130968,15.989369,12.31062335,,0.2253224,7.1614792,11.5998783,2.5239119,0.1792262,0.1498381,27.1408169,3,,11.0772791
CI_Ref_MORB_100x100_256s_sp5.CSV,CI_Ref_15_2_100x100_256s_sp1,CI_Ref_15,CI_Ref_15,0.072313328,0.081995623,,49.6771183,1.3849566,15.9595242,12.2304434,,0.2283459,7.2156045,11.6377961,2.5895138,0.1707298,0.1312789,15.0186795,3,,11.005132
CI_Ref_MORB_100x100_256s_sp2.CSV,CI_Ref_15_2_100x100_256s_sp2,CI_Ref_15,CI_Ref_15,0.079363217,0.08609652,,49.6771183,1.3849566,15.9595242,12.2304434,,0.2283459,7.2156045,11.6377961,2.5895138,0.1707298,0.1312789,14.3664605,3,,11.005132
CI_Ref_MORB_100x100_256s_sp5.CSV,CI_Ref_15_2_100x100_256s_sp5,CI_Ref_15,CI_Ref_15,0.068287646,0.076851618,,49.6771183,1.3849566,15.9595242,12.2304434,,0.2283459,7.2156045,11.6377961,2.5895138,0.1707298,0.1312789,15.1637303,3,,11.005132
